method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,n_delete,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,4,0,False,False,False,1.0,3,6.31755210154088e-11,4.856703836433968e-13,1.2472961981571043e-11,4.547473508864641e-13,5.51164294888647e-11,5.362597410144533e-13,2.0776145965139578e-11,0.0
inf,4,0,False,False,False,1.0,3,6.431098710768743e-13,4.687428401686771e-13,1.5720758028692217e-13,0.0,0.0,3.126388037344441e-13,4.618527782440651e-14,0.0
inf,4,0,False,False,False,1.0,3,1.811356370152374e-10,7.059806164519512e-13,1.406804682230626e-11,4.547473508864641e-13,1.5456393520578184e-10,5.968558980384842e-13,9.793078938194722e-12,0.0
inf,4,0,False,False,False,1.0,3,4.547473508864641e-13,1.2789769243681803e-13,7.805404319099673e-11,1.8189894035458565e-12,4.547473508864641e-13,4.764346674119284e-13,4.6507818003254746e-11,9.094947017729282e-13
inf,4,0,False,False,False,1.0,3,2.033691978340166e-12,4.263256414560601e-14,1.3842277055443811e-12,1.5034197763103785e-11,1.8189894035458565e-12,4.263256414560601e-14,6.110667527536862e-13,2.832970153971932e-11
inf,4,0,False,False,False,1.0,3,8.946225806555513e-10,4.156675004196586e-13,6.536993168992922e-13,1.016845989170083e-12,8.614816199348883e-10,6.323830348264892e-13,7.815970093361102e-13,1.016845989170083e-12
inf,4,0,False,False,False,1.0,3,0.0,3.019806626980426e-13,1.2836170357126536e-11,0.0,0.0,3.019806626980426e-13,1.4947225319302982e-11,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3,4.547473508864641e-13,6.394884621840902e-13,7.490235539953711e-10,0.0,4.547473508864641e-13,5.542233338928781e-13,5.518497755175417e-13,0.0
inf,4,0,False,False,False,1.0,3,0.0,4.263256414560601e-13,4.220312826983247e-12,1.185836009463428e-11,0.0,4.263256414560601e-13,4.1194814302783556e-12,1.0259567873325503e-11
inf,4,0,False,False,False,1.0,3,4.547473508864641e-13,8.030975033189014e-10,4.547473508864641e-13,8.760144426090166e-10,4.547473508864641e-13,8.030975033189014e-10,4.263256414560601e-13,8.632342128524918e-10
inf,4,0,False,False,False,1.0,3,0.0,1.4210854715202004e-13,1.8167405545141168e-09,9.094947017729282e-13,0.0,4.556346636343676e-13,1.4510157213670708e-09,9.094947017729282e-13
inf,4,0,False,False,False,1.0,3,0.0,4.547473508864641e-13,4.582862941503293e-13,1.846632631372536e-11,4.547473508864641e-13,3.979039320256561e-13,4.263256414560601e-13,2.371672018926856e-11
inf,4,0,False,False,False,1.0,3,1.016845989170083e-12,6.821210263296962e-13,0.0,1.3710462946329549e-11,9.094947017729282e-13,6.821210263296962e-13,1.7053025658242404e-13,1.2040074848185874e-11
inf,4,0,False,False,False,1.0,3,0.0,0.0,7.731540852509763e-13,9.094947017729282e-13,0.0,0.0,5.362597410144533e-13,0.0
inf,4,0,False,False,False,1.0,3,0.0,3.500614390645825e-10,6.042538309847401e-13,7.499885442698834e-12,0.0,3.500614390645825e-10,9.165725883006586e-13,4.897778860262864e-12
inf,4,0,False,False,False,1.0,3,0.0,2.8421709430404007e-13,1.7053025658242404e-13,0.0,0.0,3.410605131648481e-13,4.687428401686771e-13,0.0
inf,4,0,False,False,False,1.0,3,9.094947017729282e-13,3.410605131648481e-13,3.0576106179796424e-11,1.3642420526593924e-12,9.094947017729282e-13,2.8421709430404007e-13,1.0365049458161302e-10,2.2737367544323206e-12
inf,4,0,False,False,False,1.0,3,0.0,3.410605131648481e-13,9.374856803373542e-13,1.016845989170083e-12,9.094947017729282e-13,5.684341886080801e-13,6.042538309847401e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3,4.897778860262864e-12,4.687428401686771e-13,3.2480844844335513e-10,4.547473508864641e-13,4.918844673007683e-12,2.2737367544323206e-13,2.9972603350986114e-10,0.0
inf,4,0,False,False,False,1.0,3,1.016845989170083e-12,4.547473508864641e-13,1.016845989170083e-12,9.374856803373542e-13,4.547473508864641e-13,5.684341886080801e-13,2.096281709166962e-12,9.094947017729282e-13
inf,4,0,False,False,False,1.0,3,7.682744862549642e-10,4.547473508864641e-13,3.388706958969366e-11,0.0,7.208881573129379e-10,0.0,4.186891142992939e-11,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,3,1.016845989170083e-12,2.2737367544323206e-13,5.684341886080802e-14,1.9057386696477135e-11,4.547473508864641e-13,0.0,0.0,1.912643787801525e-11
inf,4,0,False,False,False,1.0,3,0.0,2.2737367544323206e-13,1.8269655220124374e-12,0.0,9.094947017729282e-13,1.1368683772161603e-13,1.8189894035458565e-12,2.2737367544323206e-13
